Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",98.552000,-66.294000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",94.742000,-66.294000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",87.630000,-71.882000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",87.630000,-75.946000,180.000000,top
"C9","0.1uF","C_0402_1005Metric",95.250000,-82.804000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",105.918000,-73.660000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",104.394000,-70.358000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",104.648000,-77.216000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",105.918000,-74.676000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",92.202000,-82.042000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",88.392000,-70.104000,180.000000,top
"L1","L_Small","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",108.966000,-66.548000,180.000000,top
"R1","4.7k","R_0402_1005Metric",101.346000,-66.548000,90.000000,top
"R3","4.7k","R_0402_1005Metric",89.916000,-65.786000,90.000000,top
"U1","SII9022ACNU","QFN-72-1EP_10x10mm_P0.5mm_EP6x6mm",96.520000,-74.930000,270.000000,top
"U2","AZ1117EH-1.2TRG1","SOT-223-3_TabPin2",96.266000,-105.156000,270.000000,top
