Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",98.552000,-66.294000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",94.996000,-66.294000,90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.998000,-66.802000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.998000,-62.230000,0.000000,top
"C5","10uF","CP_Elec_5x5.3",108.432000,-114.808000,-90.000000,top
"C6","100uF","CP_Elec_5x5.3",102.082000,-114.808000,-90.000000,top
"C7","0.1uF","C_0402_1005Metric",87.630000,-71.882000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",87.630000,-75.946000,180.000000,top
"C9","0.1uF","C_0402_1005Metric",95.250000,-82.804000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",106.934000,-73.406000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",103.886000,-70.358000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",103.632000,-77.470000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",104.140000,-74.422000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",92.202000,-82.042000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",88.392000,-70.104000,180.000000,top
"C16","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.186000,-114.300000,0.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.012000,-114.300000,0.000000,top
"C18","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.360000,-114.300000,0.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.186000,-109.728000,0.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.012000,-109.728000,0.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.360000,-109.728000,0.000000,top
"J2","685119134923","685119134923",98.806000,-53.515000,0.000000,top
"L1","0.022uH","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",110.998000,-64.516000,180.000000,top
"L2","0.022uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.186000,-112.014000,0.000000,top
"L3","0.022uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.012000,-112.014000,0.000000,top
"L4","0.022uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.360000,-112.014000,0.000000,top
"R1","4.7k","R_0402_1005Metric",100.838000,-66.294000,90.000000,top
"R2","10k","R_0402_1005Metric",106.172000,-65.786000,0.000000,top
"R3","4.7k","R_0402_1005Metric",92.202000,-67.310000,90.000000,top
"R4","4.7k","R_0402_1005Metric",85.598000,-67.564000,180.000000,top
"R5","4.7k","R_0402_1005Metric",85.598000,-66.294000,180.000000,top
"R6","4.7k","R_0402_1005Metric",106.172000,-63.246000,180.000000,top
"R7","4.7k","R_0402_1005Metric",106.172000,-64.516000,180.000000,top
"U1","SII9022ACNU","QFN-72-1EP_10x10mm_P0.5mm_EP6x6mm",96.520000,-74.930000,270.000000,top
"U2","AZ1117EH-1.2TRG1","SOT-223-3_TabPin2",106.172000,-104.902000,270.000000,top
