Comment,Designator,Footprint,LCSC
"27pF","C1,C2","Capacitor_SMD:C_0805_2012Metric",""
"1uF","C13,C14","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C15","Capacitor_SMD:CP_Elec_5x5.3",""
"100uF","C16","Capacitor_SMD:CP_Elec_5x5.3",""
"10uF","C19","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C21,C22,C23","Capacitor_SMD:C_0805_2012Metric",""
"100nF","C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C17,C20","Capacitor_SMD:C_0402_1005Metric","C307331"
"LED","D1","LED_SMD:LED_0805_2012Metric","C2297"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"292303-1","J1,J2,J6","292303-1:TE_292303-1",""
"Conn_01x04_Male","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x04_Male","J5","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",""
"1k","R1","Resistor_SMD:R_0805_2012Metric",""
"10k","R10","Resistor_SMD:R_0402_1005Metric"," C269674"
"47","R11","Resistor_SMD:R_0805_2012Metric",""
"33k","R12,R14,R15","Resistor_SMD:R_0805_2012Metric",""
"2.7k 1%","R13","Resistor_SMD:R_0402_1005Metric","C25885"
"27","R2,R3","Resistor_SMD:R_0805_2012Metric",""
"27","R4,R5,R6,R7,R8,R9","Resistor_SMD:R_0402_1005Metric",""
"TestPoint_Small","TP1,TP_DRV1,TP_LED1,TP_LED2,TP_1V1","TestPoint:TestPoint_Pad_D1.5mm",""
"RP2040","U1","parts:QFN40P700X700X90-57N","C2040"
"FE1.1s","U2","Package_SO:SSOP-28_3.9x9.9mm_P0.635mm","C9359"
"W25Q128JVS","U3","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"AZ1117EH-3.3TRG1","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C108494"
"USBLC6-2SC6","U5,U6,U7","Package_TO_SOT_SMD:SOT-23-6",""
"12MHz","Y1,Y2","Crystal:Crystal_SMD_HC49-SD",""
